#,BRAND,PRODUCT NAME,CATEGORY,RETAIL PRICE (ZAR),SA MARKET PRICE (ZAR),SOURCE PRICE (USD),MAX LANDED COST (ZAR),MARGIN TIER,TARGET GM%,PRICING NOTE,SOURCE URL,DESCRIPTION,INGREDIENTS
29,Beauty of Joseon,Beauty of Joseon Revive Serum: Ginseng + Snail Mucin (30ml),Serum,R619.95,—,$15.00,R185.99,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/beauty-of-joseon-revive-serum-ginseng-snail-mucin-30ml,"The Skin Boutique Curates: Beauty of Joseon Revive Serum: Ginseng + Snail Mucin (30ml) Newly rebranded, the Repair Serum from Beauty of Joseon is now called Revive Serum: Ginseng + Snail Mucin with ne","Panax Ginseng Root Water, Water, Butylene Glycol, Snail Secretion Filtrate, Dipropylene Glycol, 1,2-Hexanediol, Glycerin, Niacinamide, Propanediol, Trehalose, Carbomer, Tromethamine, Xanthan Gum, Cent"
30,Beauty of Joseon,Beauty of Joseon Glow Serum: Propolis & Niacinamide (30ml),Serum,R661.28,—,$16.00,R198.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/beauty-of-joseon-glow-serum-propolis-niacinamide-30ml-1,The Skin Boutique Curates: Beauty of Joseon Glow Serum: Propolis & Niacinamide (30ml) A serum that skillfully manages sebum production while ensuring your skin remains hydrated Authentically sourced a,"Propolis Extract, Dipropylene Glycol, Glycerin, Butylene Glycol, Water, Niacinamide, 1,2-Hexanediol, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Sodium Hyaluronate, Curcuma Longa"
31,Beauty of Joseon,Beauty of Joseon Glow Deep Serum: Rice + Arbutin (30ml),Serum,R702.61,—,$17.00,R210.78,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/beauty-of-joseon-glow-deep-serum-rice-arbutin-30ml,The Skin Boutique Curates: Beauty of Joseon Glow Deep Serum: Rice + Arbutin (30ml) A serum that works diligently to illuminate and boost the health of your skin. Authentically sourced and independentl,"Oryza Sativa (Rice) Bran Water, Water, Glycerin, Butylene Glycol, 1,2-Hexanediol, Dipropylene Glycol, Arbutin, Methyl Gluceth-20, Panthenol, Polyglycerin-3, Trehalose, Glyceryl Glucoside, Hydrolyzed J"
32,Purito,PURITO Mighty Bamboo Panthenol Cream (100ml),Cream,R785.27,—,$19.00,R235.58,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/purito-mighty-bamboo-panthenol-cream-100ml,The Skin Boutique Curates: PURITO Mighty Bamboo Panthenol Cream (100ml) Skin barrier fortifying cream for all seasons Authentically sourced and independently curated by The Skin Boutique — your truste,"Water, Panthenol (10%), Squalane, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Bambusa Vulgaris Extract (3,497 ppm), Hydrolyzed Jojoba Esters, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium A"
33,ANUA,ANUA Heartleaf 70% Intense Calming Cream,Cream,R371.97,—,$9.00,R111.59,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/anua-heartleaf-70-intense-calming-cream-50ml,The Skin Boutique Curates: ANUA Heartleaf 70% Intense Calming Cream Experience the best of K-Beauty with ANUA Heartleaf 70% Intense Calming Cream by ANUA — a premium formula crafted to transform your ,"Water, Glycerin (Full ingredients list under review)"
34,Purito,PURITO Oat-in Calming Gel Cream (100ml),Cream,R743.94,—,$18.00,R223.18,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/purito-oat-in-calming-gel-cream-100ml,"The Skin Boutique Curates: PURITO Oat-in Calming Gel Cream (100ml) A refreshing gel cream with nourishing oat seed water, instantly calming for dry and sensitive skin. Authentically sourced and indepe","Avena Sativa (Oat) Seed Water (77%), Butylene Glycol, Glycerin, 2,3-Butanediol, 1,2-Hexanediol, Aqua/Water, Ammonium Acryloyldimethyltaurate/VP Copolymer, Squalane, Hydroxyacetophenone, Carbomer, Dipo"
35,AXIS-Y,AXIS-Y Heartleaf My Type Calming Cream (60ml),Cream,R785.27,—,$19.00,R235.58,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/axis-y-heartleaf-my-type-calming-cream-60ml,The Skin Boutique Curates: AXIS-Y Heartleaf My Type Calming Cream (60ml) A lightweight gel cream to hydrate and calm irritated skin. Authentically sourced and independently curated by The Skin Boutiqu,"Water, Propanediol, Glycerin, Sodium Hyaluronate, Butylene Glycol, Sorbitol, Isohexadecane, Caprylic/Capric Triglyceride, Houttuynia Cordata Extract, Betaine, Centella Asiatica Extract, Glyceryl Stear"
36,AXIS-Y,AXIS-Y Cera-Heart My Type Duo Cream (60ml),Cream,R413.30,—,$10.00,R123.99,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/axis-y-cera-heart-my-type-duo-cream-60ml,"The Skin Boutique Curates: AXIS-Y Cera-Heart My Type Duo Cream (60ml) An all-in-one duo packaging cream that targets the ""U Zone"" and ""T Zone"" all year round. Authentically sourced and independently c","Water, Glycerin (Check packaging for full details)"
37,COSRX,COSRX The Vitamin C 13 Serum (20ml),Serum,R661.28,—,$16.00,R198.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/cosrx-the-vitamin-c-13-serum-20ml,"The Skin Boutique Curates: COSRX The Vitamin C 13 Serum (20ml) A daily vitamin C serum to target blemishes, dark spots, fine lines and collagen production. Authentically sourced and independently cura","Water, Glycerin (Check packaging for full details)"
38,Mediheal,MEDIHEAL Madecassoside Essential Mask (10 PCs),Sheet Masks,R619.95,—,$15.00,R185.99,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/mediheal-madecassoside-essential-mask-10-pcs,"The Skin Boutique Curates: MEDIHEAL Madecassoside Essential Mask (10 PCs) A calming and soothing sheet mask for troubled, irritated skin. Authentically sourced and independently curated by The Skin Bo","Water, Glycerin (Check packaging for full details)"
