Brand,Product Name,SKU / ID,Image Link,Target Sale Price (ZAR)
"COSRX","COSRX Low pH Niacinamide Micellar Cleansing Water (400ml)","COSRX-9140000000004","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/cosrx-low-ph-niacinamide-micellar-cleansing-water-400ml-1000x1000.webp?v=1689394868",494
"COSRX","COSRX Full Fit Propolis Light Cream (65ml)","COSRX-9140000000005","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Full_Fit_Propolis_Light_Cream__65ml_PNG2.png?v=1769695637",650
"COSRX","COSRX Centella Blemish Cream (30g)","COSRX-9140000000006","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRXCentellaBlemishCream_HD_AI_enhanced.png?v=1768490941",448
"COSRX","COSRX Oil-Free Ultra Moisturizing Lotion (100ml)","COSRX-9140000000007","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Oil-Free_Ultra_Moisturizing_Lotion__100ml_-removebg-preview.png?v=1766170435",592
"COSRX","COSRX Centella Water Alcohol-Free Toner (150ml)","COSRX-9140000000008","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Centella_Water_Alcohol-Free_Toner_150ml.png?v=1772995137",475
"COSRX","COSRX Galactomyces 95 Tone Balancing Essence (100ml)","COSRX-9140000000009","https://cdn.shopify.com/s/files/1/0515/4589/9157/products/Galactomyces_95_Tone_Balancing_Essence_800x_d0ec3201-bf1d-4495-82d1-cb80fa79ea77.png?v=1654734774",580
"COSRX","COSRX Hydrium Moisture Power Enriched Cream (50ml)","COSRX-9140000000010","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Hydrium_Moisture_Power_Enriched_Cream_50ml__PNG.png?v=1769697172",599
"COSRX","COSRX Hyaluronic Acid Hydra Power Essence (100ml)","COSRX-9140000000011","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Hyaluronic_Acid_Hydra_Power_Essence__100ml_-removebg-preview.png?v=1766170441",592
"COSRX","COSRX Advanced Snail Mucin Gel Cleanser (150ml)","COSRX-9140000000012","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Advanced_Snail_Mucin_Gel_Cleanser_150ml.png?v=1772994731",483
"COSRX","COSRX Advanced Snail Radiance Dual Essence (80ml)","COSRX-9140000000013","https://cdn.shopify.com/s/files/1/0515/4589/9157/products/COSRX_AdvancedSnailRadianceDualEssence_800x_b9dfca10-7cf5-4819-a6ba-23efcef5e958.png?v=1673312465",642
"COSRX","COSRX Full Fit Propolis Light Ampoule (30ml)","COSRX-9140000000014","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Full_Fit_Propolis_Light_Ampoule_30ml.png?v=1772995321",642
"COSRX","COSRX Full Fit Propolis Synergy Toner (150ml)","COSRX-9140000000015","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Full_Fit_Propolis_Synergy_Toner.png?v=1772995411",545
